Time: 2021-12-31 01:05, Log: waterLV:402
Time: 2021-12-31 01:10, Log: waterLV:398
Time: 2021-12-31 01:15, Log: waterLV:387
Time: 2021-12-31 01:20, Log: waterLV:366
Time: 2021-12-31 01:25, Log: waterLV:354
Time: 2021-12-31 01:30, Log: waterLV:346
Time: 2021-12-31 01:35, Log: waterLV:345
Time: 2021-12-31 01:40, Log: waterLV:338
Time: 2021-12-31 01:45, Log: waterLV:338
Time: 2021-12-31 01:50, Log: waterLV:336
Time: 2021-12-31 01:55, Log: waterLV:333
Time: 2021-12-31 02:00, Log: waterLV:331
Time: 2021-12-31 02:05, Log: waterLV:328
Time: 2021-12-31 02:10, Log: waterLV:327
Time: 2021-12-31 02:15, Log: waterLV:328
Time: 2021-12-31 02:20, Log: waterLV:324
Time: 2021-12-31 02:25, Log: waterLV:321
Time: 2021-12-31 02:30, Log: waterLV:324
Time: 2021-12-31 02:35, Log: waterLV:318
Time: 2021-12-31 02:40, Log: waterLV:322
Time: 2021-12-31 02:45, Log: waterLV:320
Time: 2021-12-31 02:50, Log: waterLV:315
Time: 2021-12-31 02:55, Log: waterLV:315
Time: 2021-12-31 03:00, Log: waterLV:318
Time: 2021-12-31 03:05, Log: waterLV:317
Time: 2021-12-31 03:10, Log: waterLV:316
Time: 2021-12-31 03:15, Log: waterLV:310
Time: 2021-12-31 03:20, Log: waterLV:309
Time: 2021-12-31 03:25, Log: waterLV:314
Time: 2021-12-31 03:30, Log: waterLV:309
Time: 2021-12-31 03:35, Log: waterLV:308
Time: 2021-12-31 03:40, Log: waterLV:313
Time: 2021-12-31 03:45, Log: waterLV:312
Time: 2021-12-31 03:50, Log: waterLV:310
Time: 2021-12-31 03:55, Log: waterLV:311
Time: 2021-12-31 04:00, Log: waterLV:312
Time: 2021-12-31 04:05, Log: waterLV:312
Time: 2021-12-31 04:10, Log: waterLV:310
Time: 2021-12-31 04:15, Log: waterLV:313
Time: 2021-12-31 04:20, Log: waterLV:308
Time: 2021-12-31 04:25, Log: waterLV:307
Time: 2021-12-31 04:30, Log: waterLV:312
Time: 2021-12-31 04:35, Log: waterLV:312
Time: 2021-12-31 04:40, Log: waterLV:309
Time: 2021-12-31 04:45, Log: waterLV:310
Time: 2021-12-31 04:50, Log: waterLV:308
Time: 2021-12-31 04:55, Log: waterLV:313
Time: 2021-12-31 05:00, Log: waterLV:312
Time: 2021-12-31 05:05, Log: waterLV:312
Time: 2021-12-31 05:10, Log: waterLV:314
Time: 2021-12-31 05:15, Log: waterLV:311
Time: 2021-12-31 05:20, Log: waterLV:309
Time: 2021-12-31 05:25, Log: waterLV:313
Time: 2021-12-31 05:30, Log: waterLV:308
Time: 2021-12-31 05:35, Log: waterLV:309
Time: 2021-12-31 05:40, Log: waterLV:314
Time: 2021-12-31 05:45, Log: waterLV:310
Time: 2021-12-31 05:50, Log: waterLV:310
Time: 2021-12-31 05:55, Log: waterLV:314
Time: 2021-12-31 06:00, Log: waterLV:309
Time: 2021-12-31 06:05, Log: waterLV:312
Time: 2021-12-31 06:10, Log: waterLV:313
Time: 2021-12-31 06:15, Log: waterLV:312
Time: 2021-12-31 06:20, Log: waterLV:311
Time: 2021-12-31 06:25, Log: waterLV:309
Time: 2021-12-31 06:30, Log: waterLV:309
Time: 2021-12-31 06:35, Log: waterLV:311
Time: 2021-12-31 06:40, Log: waterLV:311
Time: 2021-12-31 06:45, Log: waterLV:313
Time: 2021-12-31 06:50, Log: waterLV:309
Time: 2021-12-31 06:55, Log: waterLV:309
Time: 2021-12-31 07:00, Log: waterLV:315
Time: 2021-12-31 07:05, Log: waterLV:312
Time: 2021-12-31 07:10, Log: waterLV:310
Time: 2021-12-31 07:15, Log: waterLV:310
Time: 2021-12-31 07:20, Log: waterLV:309
Time: 2021-12-31 07:25, Log: waterLV:308
Time: 2021-12-31 07:30, Log: waterLV:309
Time: 2021-12-31 07:35, Log: waterLV:311
Time: 2021-12-31 07:40, Log: waterLV:311
Time: 2021-12-31 07:45, Log: waterLV:314
Time: 2021-12-31 07:50, Log: waterLV:309
Time: 2021-12-31 07:55, Log: waterLV:309
Time: 2021-12-31 08:00, Log: waterLV:315
Time: 2021-12-31 08:05, Log: waterLV:310
Time: 2021-12-31 08:10, Log: waterLV:315
Time: 2021-12-31 08:15, Log: waterLV:315
Time: 2021-12-31 08:20, Log: waterLV:309
Time: 2021-12-31 08:25, Log: waterLV:310
Time: 2021-12-31 08:30, Log: waterLV:310
Time: 2021-12-31 08:35, Log: waterLV:309
Time: 2021-12-31 08:40, Log: waterLV:314
Time: 2021-12-31 08:45, Log: waterLV:307
Time: 2021-12-31 08:50, Log: waterLV:306
Time: 2021-12-31 08:55, Log: waterLV:306
Time: 2021-12-31 09:00, Log: waterLV:310
Time: 2021-12-31 09:05, Log: waterLV:309
Time: 2021-12-31 09:10, Log: waterLV:306
Time: 2021-12-31 09:15, Log: waterLV:310
Time: 2021-12-31 09:20, Log: waterLV:307
Time: 2021-12-31 09:25, Log: waterLV:312
Time: 2021-12-31 09:30, Log: waterLV:306
Time: 2021-12-31 09:35, Log: waterLV:307
Time: 2021-12-31 09:40, Log: waterLV:311
Time: 2021-12-31 09:45, Log: waterLV:308
Time: 2021-12-31 09:50, Log: waterLV:311
Time: 2021-12-31 09:55, Log: waterLV:306
Time: 2021-12-31 10:00, Log: waterLV:311
Time: 2021-12-31 10:05, Log: waterLV:306
Time: 2021-12-31 10:10, Log: waterLV:305
Time: 2021-12-31 10:15, Log: waterLV:306
Time: 2021-12-31 10:20, Log: waterLV:305
Time: 2021-12-31 10:25, Log: waterLV:303
Time: 2021-12-31 10:30, Log: waterLV:302
Time: 2021-12-31 10:35, Log: waterLV:307
Time: 2021-12-31 10:40, Log: waterLV:303
Time: 2021-12-31 10:45, Log: waterLV:305
Time: 2021-12-31 10:50, Log: waterLV:303
Time: 2021-12-31 10:55, Log: waterLV:306
Time: 2021-12-31 11:00, Log: waterLV:306
Time: 2021-12-31 11:05, Log: waterLV:306
Time: 2021-12-31 11:10, Log: waterLV:308
Time: 2021-12-31 11:15, Log: waterLV:302
Time: 2021-12-31 11:20, Log: waterLV:298
Time: 2021-12-31 11:25, Log: waterLV:298
Time: 2021-12-31 11:30, Log: waterLV:301
Time: 2021-12-31 11:35, Log: waterLV:303
Time: 2021-12-31 11:40, Log: waterLV:301
Time: 2021-12-31 11:45, Log: waterLV:298
Time: 2021-12-31 11:50, Log: waterLV:298
Time: 2021-12-31 11:55, Log: waterLV:301
Time: 2021-12-31 12:00, Log: waterLV:298
Time: 2021-12-31 12:05, Log: waterLV:300
Time: 2021-12-31 12:10, Log: waterLV:302
Time: 2021-12-31 12:15, Log: waterLV:301
Time: 2021-12-31 12:20, Log: waterLV:297
Time: 2021-12-31 12:25, Log: waterLV:302
Time: 2021-12-31 12:30, Log: waterLV:297
Time: 2021-12-31 12:35, Log: waterLV:296
Time: 2021-12-31 12:40, Log: waterLV:299
Time: 2021-12-31 12:45, Log: waterLV:296
Time: 2021-12-31 12:50, Log: waterLV:295
Time: 2021-12-31 12:55, Log: waterLV:295
Time: 2021-12-31 13:00, Log: waterLV:300
Time: 2021-12-31 13:05, Log: waterLV:299
Time: 2021-12-31 13:10, Log: waterLV:295
Time: 2021-12-31 13:15, Log: waterLV:299
Time: 2021-12-31 13:20, Log: waterLV:300
Time: 2021-12-31 13:25, Log: waterLV:299
Time: 2021-12-31 13:30, Log: waterLV:297
Time: 2021-12-31 13:35, Log: waterLV:293
Time: 2021-12-31 13:40, Log: waterLV:298
Time: 2021-12-31 13:45, Log: waterLV:296
Time: 2021-12-31 13:50, Log: waterLV:291
Time: 2021-12-31 13:55, Log: waterLV:296
Time: 2021-12-31 14:00, Log: waterLV:295
Time: 2021-12-31 14:05, Log: waterLV:293
Time: 2021-12-31 14:10, Log: waterLV:291
Time: 2021-12-31 14:15, Log: waterLV:297
Time: 2021-12-31 14:20, Log: waterLV:294
Time: 2021-12-31 14:25, Log: waterLV:298
Time: 2021-12-31 14:30, Log: waterLV:296
Time: 2021-12-31 14:35, Log: waterLV:292
Time: 2021-12-31 14:40, Log: waterLV:294
